k1     a1     p1     k2     a2     p2     k3     a3     p3     u1   u2   nll  
1.89993 1.21169 0.457654 0.0993762 0.943476 -0.394112  0.00855352 0.928937 0.522266 0.899886 0.800012 1.7423e+06 0.170406
1.89993 1.20412 0.440998 0.0993604 0.941796 -0.394966  0.00852471 0.925613 0.517694 0.899884 0.800011 1.73762e+06 0.170178
1.89993 1.21119 0.456424 0.0993468 0.945704 -0.392111  0.00855603 0.928943 0.519968 0.899881 0.800011 1.7058e+06 0.168612
1.89993 1.20451 0.441776 0.0993311 0.944349 -0.392751  0.00853067 0.926059 0.51589 0.899879 0.800011 1.69963e+06 0.168307
1.89992 1.21067 0.455266 0.0993173 0.947907 -0.390117  0.00855794 0.929004 0.517795 0.899876 0.800011 1.67454e+06 0.16706
1.89992 1.20479 0.442448 0.0993017 0.946851 -0.390558  0.00853572 0.926523 0.514166 0.899874 0.800011 1.66771e+06 0.166719
1.89992 1.21012 0.454174 0.0992878 0.950091 -0.388125  0.00855934 0.929122 0.515742 0.899871 0.800011 1.64792e+06 0.165727
1.89992 1.205 0.443055 0.0992722 0.949317 -0.388378  0.00854006 0.927016 0.512529 0.899869 0.80001 1.64101e+06 0.165379
1.89992 1.20957 0.453146 0.0992581 0.952263 -0.386131  0.00856032 0.929297 0.513802 0.899866 0.80001 1.62514e+06 0.164577
1.89992 1.20513 0.443552 0.0992426 0.951742 -0.386214  0.00854366 0.927529 0.510963 0.899864 0.80001 1.61848e+06 0.16424
1.89992 1.20902 0.452178 0.0992283 0.954427 -0.384134  0.00856094 0.929528 0.51197 0.899861 0.80001 1.60582e+06 0.163596
1.89991 1.2052 0.443982 0.0992129 0.954141 -0.384057  0.0085467 0.92807 0.509473 0.899859 0.80001 1.59957e+06 0.163278
1.89991 1.20847 0.45127 0.0991985 0.956587 -0.382131  0.00856127 0.929812 0.510237 0.899856 0.80001 1.58909e+06 0.162742
1.89991 1.2052 0.444302 0.0991831 0.95651 -0.381911  0.00854915 0.928628 0.508043 0.899853 0.80001 1.58333e+06 0.162446
1.89991 1.20792 0.450416 0.0991686 0.958747 -0.380119  0.00856135 0.930147 0.508599 0.899851 0.80001 1.57458e+06 0.161997
1.89991 1.20515 0.444539 0.0991533 0.958856 -0.379772  0.00855112 0.929208 0.506674 0.899848 0.800009 1.5697e+06 0.161746
1.89991 1.2074 0.449632 0.0991387 0.960911 -0.378096  0.00856127 0.930535 0.507052 0.899846 0.800009 1.56224e+06 0.161361
